Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,ORD-100001,2021-02-21,2021-02-27,Standard Class,CUST-1604,Customer_865,Consumer,India,Los Angeles,California,329258,West,PROD-9279,Office Supplies,Binders,Binders Model 155,2764.79,4,0.05,749.1
2,ORD-100002,2024-08-23,2024-08-29,Standard Class,CUST-1777,Customer_327,Home Office,India,Miami,New York,391369,West,PROD-4527,Furniture,Tables,Tables Model 196,5458.52,4,0.15,1237.88
3,ORD-100003,2021-07-09,2021-07-13,Standard Class,CUST-1747,Customer_941,Home Office,India,Los Angeles,Florida,182627,Central,PROD-6925,Technology,Phones,Phones Model 148,985.23,14,0.1,227.7
4,ORD-100004,2021-04-04,2021-04-10,Standard Class,CUST-1389,Customer_570,Corporate,India,Seattle,New York,270555,Central,PROD-6820,Furniture,Chairs,Chairs Model 54,2294.42,5,0.0,703.46
5,ORD-100005,2024-12-08,2024-12-14,Second Class,CUST-1473,Customer_778,Corporate,India,Seattle,Washington,684004,West,PROD-6313,Office Supplies,Storage,Storage Model 197,6487.39,10,0.3,657.44
6,ORD-100006,2021-03-07,2021-03-14,First Class,CUST-1217,Customer_1343,Corporate,India,Miami,Washington,581141,West,PROD-5339,Furniture,Tables,Tables Model 36,3168.22,5,0.0,358.94
7,ORD-100007,2024-04-12,2024-04-16,Second Class,CUST-1521,Customer_1011,Consumer,India,Los Angeles,California,260265,West,PROD-7916,Furniture,Bookcases,Bookcases Model 153,8980.27,7,0.1,1039.88
8,ORD-100008,2023-02-21,2023-02-26,Standard Class,CUST-1696,Customer_1477,Consumer,India,Seattle,Illinois,887352,Central,PROD-6573,Furniture,Furnishings,Furnishings Model 29,9961.29,9,0.1,3400.02
9,ORD-100009,2021-11-20,2021-11-24,Second Class,CUST-1519,Customer_218,Home Office,India,New York City,Washington,632323,West,PROD-3504,Technology,Copiers,Copiers Model 96,52.39,12,0.3,6.76
10,ORD-100010,2024-05-11,2024-05-14,First Class,CUST-1245,Customer_119,Consumer,India,Chicago,California,189814,South,PROD-2133,Furniture,Chairs,Chairs Model 195,4896.28,2,0.1,1535.55
11,ORD-100011,2021-09-20,2021-09-26,Same Day,CUST-1987,Customer_434,Home Office,India,Seattle,Washington,310922,Central,PROD-7537,Office Supplies,Paper,Paper Model 172,4763.32,9,0.05,616.93
12,ORD-100012,2023-06-17,2023-06-22,Standard Class,CUST-1602,Customer_1135,Consumer,India,Chicago,Texas,107540,East,PROD-1964,Office Supplies,Storage,Storage Model 59,4525.83,4,0.05,313.22
13,ORD-100013,2022-11-08,2022-11-09,Same Day,CUST-1248,Customer_969,Corporate,India,Houston,California,201639,South,PROD-6804,Furniture,Chairs,Chairs Model 109,5151.28,5,0.3,1007.72
14,ORD-100014,2021-04-21,2021-04-27,First Class,CUST-1819,Customer_224,Consumer,India,Houston,Texas,662336,South,PROD-3296,Technology,Copiers,Copiers Model 109,6541.49,11,0.0,446.02
15,ORD-100015,2023-08-06,2023-08-08,Standard Class,CUST-1051,Customer_1336,Home Office,India,Los Angeles,California,890170,West,PROD-3724,Furniture,Bookcases,Bookcases Model 105,8747.37,2,0.15,2557.79
16,ORD-100016,2022-03-14,2022-03-21,Same Day,CUST-1271,Customer_932,Corporate,India,Miami,Washington,865990,South,PROD-3536,Technology,Copiers,Copiers Model 49,4022.38,1,0.05,658.43
17,ORD-100017,2021-04-30,2021-05-05,Second Class,CUST-1058,Customer_1041,Consumer,India,Houston,California,723939,East,PROD-4853,Technology,Accessories,Accessories Model 104,7362.66,1,0.3,-616.79
18,ORD-100018,2024-03-31,2024-04-05,First Class,CUST-1957,Customer_535,Consumer,India,Seattle,Washington,429445,West,PROD-5351,Furniture,Tables,Tables Model 102,416.62,2,0.15,102.99
19,ORD-100019,2023-07-26,2023-07-29,Standard Class,CUST-1075,Customer_1102,Consumer,India,Chicago,New York,238890,Central,PROD-2127,Furniture,Bookcases,Bookcases Model 63,9291.6,15,0.0,490.55
20,ORD-100020,2021-11-20,2021-11-24,Standard Class,CUST-1683,Customer_1136,Corporate,India,Seattle,California,240814,Central,PROD-2891,Technology,Machines,Machines Model 28,8340.77,12,0.1,1947.6
21,ORD-100021,2022-07-12,2022-07-15,First Class,CUST-1517,Customer_1001,Corporate,India,Los Angeles,California,765095,South,PROD-5533,Office Supplies,Paper,Paper Model 12,6056.2,12,0.1,672.72
